"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000149614","ALLURE PLANCHA PELO PL1030AP","","","","7798192364262","","A50038330","SI","FTW","1","FTW",""
"100100000000170232","ALLURE SECADOR ACADEMY 1.8","","","","7799111670655","","A50059544","SI","FTW","1","FTW",""
"100100000000126568","ALLURE SECADOR PELO SP1020AN","","","","7796962986560","","A50014764","SI","FTW","1","FTW",""
"100100000000149612","ALLURE SECADOR PELO SP1020AP","","","","7798192364132","","A50038328","SI","FTW","1","FTW",""
"100100000000149613","ALLURE SECADOR PELO SP1050AZU","","","","7798192364255","","A50038329","SI","FTW","1","FTW",""
"100100000000170241","ALLURE SECADOR PROF AC.1875W","","","","7799111040779","","A50059554","SI","FTW","1","FTW",""
"969575","ALPE-CAREY PEINE ALARG CHIC/F","","","","7798152150812","","A88888139","SI","FTW","1","FTW",""
"969574","ALPE-CAREY PEINE ALARG GRAN/F","","","","7798152150805","","A88888138","SI","FTW","1","FTW",""
"969573","ALPE-CAREY PEINE C/MANGO FRAN","","","","7798152150799","","A88888137","SI","FTW","1","FTW",""
"711251","ALUMBRE.LAIGLON PIEDRA","CASA WALTER","PIEDRA                           (PE.AC)","ALUMBRE.LAIGLON","7798049810010","CTP129","A86700128","SI","FTW","1","FTW",""
"100100000000170861","AMAYRA HEBILLA UNICORNIO","","","","6190068050131","E921","A50060196","SI","FTW","1","FTW",""
"100100000000044574","AMOPE LIMA ELECT PIES","","","","7891035150012","15003","A88943616","SI","FTW","1","FTW",""
"100100000000066472","AMOPE LIMA ELECT UÑAS","","","","051400951379","","A88963715","SI","FTW","1","FTW",""
"100100000000081048","{AMOPE MAQ EXF ELEC P/PIES ROS","","","","7791130303989","","A88979402","SI","FTW","3","FTW",""
"100100000000079729","AMOPE MAQ EXF ELECT P/PIES","","","","7791130962124","","A88979268","SI","FTW","1","FTW",""
"100100000000066475","AMOPE NAIL CARE HEADS REP X3","","","","7501058714930","","A88964799","SI","FTW","1","FTW",""
"100100000000098590","AMOPE REP LIMA ELECT UÑAS","","","","7501058715937","","A88998478","SI","FTW","1","FTW",""
"100100000000044575","AMOPE RTO PIEL NORMAL X2","","","","7891035150029","15004","A88943617","SI","FTW","1","FTW",""
"100100000000174559","ANDREA B.LIMA PROF 100/180","","","","754697528858","","A50063988","SI","FTW","1","FTW",""
"100100000000174560","ANDREA B.LIMA PROF 180/240","","","","754697528827","","A50063989","SI","FTW","1","FTW",""
"100100000000174561","ANDREA B.LIMA PROF 240/320","","","","754697528834","","A50063990","SI","FTW","1","FTW",""
"100100000000174562","ANDREA B.LIMA PROF 320/600","","","","754697528865","","A50063991","SI","FTW","1","FTW",""
"100100000000171703","ANDREA B.LIMA PROF MINI X CJA","","","","754697528797","","A50061053","SI","FTW","1","FTW",""
"917932","ANNA DS REMOVEDOR TINT   X200","PRODUTALIA SA","ARTICULO DE PELUQUERIA           (PE.AC)","ANNA","7795471517203","","A88868302","SI","FTW","1","FTW",""
"100100000000202505","APA LA PAPA NECESARE-CREAN.SU","KUUSAI","NECESER                          (PE.AC)","APA LA PAPA","","KU510024","A50083625","SI","FTW","1","FTW",""
"100100000000202503","APA LA PAPA NECESARE-DIA  MAG","KUUSAI","NECESER                          (PE.AC)","APA LA PAPA","","KU510022","A50083621","SI","FTW","1","FTW",""
"100100000000202502","APA LA PAPA NECESARE-FL. ACQ","KUUSAI","NECESER                          (PE.AC)","APA LA PAPA","","KU510021","A50083618","SI","FTW","1","FTW",""
"100100000000202497","APA LA PAPA NECESARE-FL/LIM","KUUSAI","NECESER                          (PE.AC)","APA LA PAPA","","KU510025","A50083610","SI","FTW","1","FTW",""
"100100000000202499","APA LA PAPA NECESARE-HOJAS","KUUSAI","NECESER                          (PE.AC)","APA LA PAPA","","KU510027","A50083616","SI","FTW","1","FTW",""
"100100000000032442","APPER ALIC CUTICULA A610","","","","7796733000068","","A88931343","SI","FTW","1","FTW",""
"100100000000126606","APPER ALIC CUTICULA C/MANG ES","","","","7796733098508","","A50014805","SI","FTW","1","FTW",""
"100100000000200649","APPER ALIC P/UñAS CHIC S A335","APPER","CORTAUÑA                         (PE.AC)","APPER","7796733000365","","A50081735","SI","FTW","1","FTW",""
"100100000000116336","APPER ALIC P/UÑAS GRANDE SUEL","","","","7796733000372","","A50004298","SI","FTW","1","FTW",""
"100100000000126614","APPER ALICATE DE MANO","","","","7796733098515","","A50014813","SI","FTW","1","FTW",""
"100100000000126607","APPER ALICATE DE PIE","","","","7796733098522","","A50014806","SI","FTW","1","FTW",""
"100100000000189813","APPER ALICATE GUSANO","DIST.R3","CORTAUÑA                         (PE.AC)","APPER","7796733098768","","A50071028","SI","FTW","1","FTW",""
"100100000000032443","APPER ANTIFAZ GEL FRIO A6001","","","","7796733000303","","A88931344","SI","FTW","1","FTW",""
"100100000000032654","APPER ARQ PEST      A1010","","","","7796733000037","","A88932926","SI","FTW","1","FTW",""
"100100000000032444","APPER ARQ PEST ERGO A1015","","","","7796733000044","","A88931345","SI","FTW","1","FTW",""
"100100000000167457","APPER BROCHA AFEITAR MAD 11CM","","","","7796733098737","","A50056756","SI","FTW","1","FTW",""
"100100000000093505","APPER CEP ARAÑA RECUB GOMA","","","","7796733000587","","A88992513","SI","FTW","1","FTW",""
"100100000000207353","APPER CEP CABELLO ECO B/CAFE","APPER","CEPILLO                          (PE.AC)","APPER","7796733099116","","A50088586","SI","FTW","1","FTW",""
"100100000000093506","APPER CEP CARTERA CROMADO","","","","7796733000556","","A88992514","SI","FTW","1","FTW",""
"100100000000186821","APPER CEP DESENRED C/ACCESOR","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733098942","","A50068223","SI","FTW","1","FTW",""
"100100000000032662","APPER CEP ESPALDA MADER A5001","","","","7796733000228","","A88932934","SI","FTW","1","FTW",""
"100100000000032445","APPER CEP ESPALDA PLAST A5002","","","","7796733000204","","A88931346","SI","FTW","1","FTW",""
"100100000000120879","APPER CEP MASAJ P/CUERO CABEL","","","","7796733098430","","A50008904","SI","FTW","1","FTW",""
"100100000000093508","APPER CEP NEU OVAL RECUB GOMA","","","","7796733000570","","A88992516","SI","FTW","1","FTW",""
"100100000000190607","APPER CEP NEUM CH C/MAN ANTID","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733098980","","A50071845","SI","FTW","1","FTW",""
"100100000000093507","APPER CEP NEUMA C/ACCES","","","","7796733000563","","A88992515","SI","FTW","1","FTW",""
"100100000000186819","APPER CEP NEUMA C/MANGO ANTID","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733098959","","A50068220","SI","FTW","1","FTW",""
"100100000000126609","APPER CEP NEUMA OVAL RECUB GO","","","","7796733007","","A50014808","SI","FTW","1","FTW",""
"100100000000108647","APPER CEP NEUMA PALETA GOMA","","","","7796733098294","","A89009108","SI","FTW","1","FTW",""
"100100000000207354","APPER CEP NEUMA PASTEL","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733099079","","A50088587","SI","FTW","1","FTW",""
"100100000000207355","APPER CEP NEUMA PASTEL ANGOST","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733099086","","A50088588","SI","FTW","1","FTW",""
"100100000000186820","APPER CEP NEUMA SET GR+CHICO","APPER","PEINE Y CEPILLO                  (PE.AC)","APPER","7796733098966","","A50068222","SI","FTW","1","FTW",""
"100100000000081190","APPER CEP P/CABEL DESENREDANT","","","","7796733000549","","A88977491","SI","FTW","1","FTW",""
"100100000000151775","APPER CEP TERM BRUSH CONICO","","","","7796733098676","","A50040608","SI","FTW","1","FTW",""
"100100000000150733","APPER CEP TERMICO CH 8690","","","","7796733098690","","A50039513","SI","FTW","1","FTW",""
"100100000000151774","APPER CEP TERMICO GDE 8683","","","","7796733098683","","A50040607","SI","FTW","1","FTW",""
"100100000000126608","APPER CEP UÑAS","","","","7796733098553","","A50014807","SI","FTW","1","FTW",""
"100100000000032661","APPER CEP UÑAS MADERA DOBLE","","","","7796733000167","","A88932933","SI","FTW","1","FTW",""
"100100000000032657","APPER CEP UÑAS PIE/PIEDRA POM","","","","7796733000181","","A88932929","SI","FTW","1","FTW",""
"100100000000032660","APPER CEP UÑAS PLAST MANGO ER","","","","7796733000150","","A88932932","SI","FTW","1","FTW",""
"100100000000186085","APPER CLIPS CAB NEG MED X48U","","","","7796733098935","","A50067502","SI","FTW","1","FTW",""
"100100000000126610","APPER CORT CUTIC REPUJAD","","","","7796733098539","","A50014809","SI","FTW","1","FTW",""
"100100000000032446","APPER CORT UNAS ANIMALIT A380","","","","7796733000273","","A88931347","SI","FTW","1","FTW",""
"100100000000016399","APPER CORTA UNAS CHICO","","","","072032551003","","A88917106","SI","FTW","1","FTW",""
"100100000000016398","APPER CORTA UNAS GRANDE","","","","072032601005","","A88917105","SI","FTW","1","FTW",""
"100100000000032656","APPER CORTACALLOS REMOV A1050","","","","7796733000129","","A88932928","SI","FTW","1","FTW",""
"100100000000032658","APPER ESCOFINA DOBLE FAZ","","","","7796733000136","","A88932930","SI","FTW","1","FTW",""
"100100000000032655","APPER ESPEJ CART DOBLE 1X/2X","","","","7796733000211","","A88932927","SI","FTW","1","FTW",""
"100100000000186822","APPER ESPEJ C/AUMENTO SOPAPA","APPER","ESPEJO                           (PE.AC)","APPER","7796733098973","","A50068224","SI","FTW","1","FTW",""
"100100000000067028","APPER ESPEJ CH C/BASE DOB FAZ","","","","7796733000525","","A88965046","SI","FTW","1","FTW",""
"100100000000121793","APPER ESPEJ C/PIE 14CM","","","","7796733098416","","A50009829","SI","FTW","1","FTW",""
"100100000000170013","APPER ESPEJ C/PIE L/LED 15CM","","","","7796733098584","","A50059316","SI","FTW","1","FTW",""
"100100000000067029","APPER ESPEJ GR C/BASE DOB FAZ","","","","7796733000518","","A88965047","SI","FTW","1","FTW",""
"100100000000107520","APPER ESPEJ MAQ 3D BORDE PLAN","","","","7796733098355","","A89007793","SI","FTW","1","FTW",""
"100100000000067030","APPER ESPEJ MD C/BASE DOB FAZ","","","","7796733000532","","A88965048","SI","FTW","1","FTW",""
"100100000000206962","APPER ESPONJ BAÑO POMPON EXF","APPER","ACCESORIO DE PERFUMERIA          (PE.AC)","APPER","7796733099055","","A50088198","SI","FTW","1","FTW",""
"100100000000207622","APPER ESPONJ BAÑO POROSA","APPER","ACCESORIO DE PERFUMERIA          (PE.AC)","APPER","7796733099154","","A50088857","SI","FTW","1","FTW",""
"100100000000108648","APPER ESPONJ MAQ 3D ERGONOMIC","","","","7796733098287","","A89009109","SI","FTW","1","FTW",""
"100100000000108649","APPER ESPONJ MAQ 3D GOTA","","","","7796733098348","","A89009110","SI","FTW","1","FTW",""
"100100000000108650","APPER ESPONJ MAQ CISNE LAT X8","","","","7796733098362","","A89009111","SI","FTW","1","FTW",""
"100100000000032663","APPER GORRA PVC P/BAÑO","","","","7796733000174","","A88932935","SI","FTW","1","FTW",""
"100100000000032667","APPER GUANTE DE BAÑO","","","","7796733000198","","A88932939","SI","FTW","1","FTW",""
"100100000000206801","APPER GUANTE DE BAÑO EXFOL","APPER","ESPONJA                          (PE.AC)","APPER","7796733099048","","A50088023","SI","FTW","1","FTW",""
"100100000000086441","APPER JABONERA C/BISAGRA","","","","7796733098188","","A88985597","SI","FTW","1","FTW",""
"100100000000093510","APPER JABONERA C/TAPA ESMERIL","","","","7796733098171","","A88992518","SI","FTW","1","FTW",""
"100100000000032665","APPER LIMA 3PASOS SUAVIZ A530","","","","7796733000105","","A88932937","SI","FTW","1","FTW",""
"100100000000108290","APPER LIMA C/BRILLO","","","","7796733098300","","A89008885","SI","FTW","1","FTW",""
"100100000000108656","APPER LIMA C/BRILLO D/FAZ X2","","","","7796733098317","","A89009112","SI","FTW","1","FTW",""
"100100000000108289","APPER LIMA C/BRILLO+PINZA DEP","","","","7796733098331","","A89008884","SI","FTW","1","FTW",""
"100100000000032452","APPER LIMA CUADRADA EST  A570","","","","7796733000341","","A88931350","SI","FTW","1","FTW",""
"100100000000109888","APPER LIMA DOBLE FAZ ESTAMPAD","","","","7796733098195","","A89009906","SI","FTW","1","FTW",""
"100100000000032453","APPER LIMA ESM LARG EST  A560","","","","7796733000112","","A88931351","SI","FTW","1","FTW",""
"100100000000032664","APPER LIMA ESTAMP D/FAZ  A520","","","","7796733000099","","A88932936","SI","FTW","1","FTW",""
"100100000000032666","APPER LIMA METAL         A550","","","","7796733000075","","A88932938","SI","FTW","1","FTW",""
"100100000000126611","APPER LIMA NEGRA","","","","7796733098492","","A50014810","SI","FTW","1","FTW",""
"100100000000032454","APPER LIMA ZAF LARG EST  A540","","","","7796733000082","","A88931352","SI","FTW","1","FTW",""
"100100000000121794","APPER LIMPIA BROCHA GOMA","","","","7796733098454","","A50009830","SI","FTW","1","FTW",""
"100100000000207687","APPER MANOPLA BAÑO YUTE","APPER","ACCESORIO DE PERFUMERIA          (PE.AC)","APPER","7796733099178","","A50088926","SI","FTW","1","FTW",""
"100100000000207718","APPER PEINE CAREY DE BOLSILLO","APPER","CEPILLO                          (PE.AC)","APPER","7796733099239","","A50088956","SI","FTW","1","FTW",""
"100100000000032659","APPER PIEDRA POMEZ SINTETICA","","","","7796733000143","","A88932931","SI","FTW","1","FTW",""
"100100000000108658","APPER PINZA DEP C/BRILLO","","","","7796733098324","","A89009113","SI","FTW","1","FTW",""
"100100000000032455","APPER PINZA DEP CURV EST A420","","","","7796733000013","","A88931353","SI","FTW","1","FTW",""
"100100000000170259","APPER PINZA DEP DORADA   X 12","","","","7796733098621","","A50059572","SI","FTW","1","FTW",""
"100100000000147232","APPER PINZA DEP NIQUELADA","","","","","","A50035729","SI","FTW","1","FTW",""
"100100000000152361","APPER PINZA DEP OBL/DORADA BL","","","","7796733098669","","A50041142","SI","FTW","1","FTW",""
"100100000000032456","APPER PINZA DEP OBLI EST A430","","","","7796733000020","","A88931354","SI","FTW","1","FTW",""
"100100000000147231","APPER PINZA DEP OBLICUA NEGRA","","","","7796733098645","","A50035728","SI","FTW","1","FTW",""
"100100000000151388","APPER PINZA DEP OBLICUA NIQUE","","","","7796733098638","","A50040197","SI","FTW","1","FTW",""
"100100000000147293","APPER PINZA DEP P/DORADA BLIS","","","","7796733098652","","A50035790","SI","FTW","1","FTW",""
"100100000000165570","APPER PORTA CEPILLO DENTAL","","","","7796733098744","","A50054802","SI","FTW","1","FTW",""
"100100000000201553","APPER REPUJAD CUTICULA ACERO","APPER","CORTAUÑA                         (PE.AC)","APPER","7796733098775","","A50082652","SI","FTW","1","FTW",""
"100100000000107521","APPER SET CORTA UÑAS","","","","7796733098270","","A89007794","SI","FTW","1","FTW",""
"100100000000126612","APPER SET CORTA UÑAS BB AGARR","","","","7796733098485","","A50014811","SI","FTW","1","FTW",""
"100100000000126613","APPER SET CUID BB 6PZAS C/EST","","","","7796733098478","","A50014812","SI","FTW","1","FTW",""
"100100000000206791","APPER SET FRACOS P/VIAJE X4","DIST.R3","ACCESORIO DE PERFUMERIA          (PE.AC)","APPER","7796733099093","","A50088012","SI","FTW","1","FTW",""
"100100000000206793","APPER SET P/VJE SILICONA X3","DIST.R3","ACCESORIO DE PERFUMERIA          (PE.AC)","APPER","7796733099109","","A50088015","SI","FTW","1","FTW",""
"100100000000032457","APPER TIJ UNA MANO ESTAM A710","","","","7796733000051","","A88931355","SI","FTW","1","FTW",""
"100100000000208151","APPER TIJERA PELUQUERIA  A720","APPER","TIJERA                           (PE.AC)","APPER","7796733099208","","A50089400","SI","FTW","1","FTW",""
"100100000000129005","ARDELL 431  PEST POSTIZAS","","","","074764641106","","A50017302","SI","FTW","1","FTW",""
"100100000000128989","ARDELL 432  PEST POSTIZAS","","","","074764302106","","A50017286","SI","FTW","1","FTW",""
"100100000000136023","ARDELL 433  PEST POSTIZAS","","","","074764301109","","A50024457","SI","FTW","1","FTW",""
"100100000000136021","ARDELL 438  PEST POSTIZAS","","","","074764305503","","A50024455","SI","FTW","1","FTW",""
"100100000000128988","ARDELL 439  PEST POSTIZAS","","","","074764408105","","A50017285","SI","FTW","1","FTW",""
"100100000000128986","ARDELL 440  PEST POSTIZAS","","","","074764601100","","A50017283","SI","FTW","1","FTW",""
"100100000000128999","ARDELL 441  PEST POSTIZAS","","","","074764620101","","A50017296","SI","FTW","1","FTW",""
"100100000000136022","ARDELL 444  PEST POSTIZAS","","","","074764607102","","A50024456","SI","FTW","1","FTW",""
"100100000000129003","ARDELL 445  PEST POSTIZAS","","","","074764614056","","A50017300","SI","FTW","1","FTW",""
"100100000000129002","ARDELL 446  PEST POSTIZAS","","","","074764651105","","A50017299","SI","FTW","1","FTW",""
"100100000000128983","ARDELL 452  PEST POSTIZAS","","","","074764613011","","A50017281","SI","FTW","1","FTW",""
"100100000000128984","ARDELL 453  PEST POSTIZAS","","","","074764613158","","A50017282","SI","FTW","1","FTW",""
"100100000000129006","ARDELL 455  PEST POSTIZAS","","","","074764615138","","A50017303","SI","FTW","1","FTW",""
"100100000000128998","ARDELL 457  PEST POSTIZAS","","","","074764616104","","A50017295","SI","FTW","1","FTW",""
"100100000000129001","ARDELL 458  PEST POSTIZAS","","","","074764625106","","A50017298","SI","FTW","1","FTW",""
"100100000000129007","ARDELL 459  PEST POSTIZAS","","","","074764652386","","A50017304","SI","FTW","1","FTW",""
"100100000000129004","ARDELL 473  PEST POSTIZAS","","","","074764619952","","A50017301","SI","FTW","1","FTW",""
"100100000000136024","ARDELL 475  PEST POSTIZAS","","","","074764650528","","A50024458","SI","FTW","1","FTW",""
"100100000000128987","ARDELL 481  PEST POSTIZAS","","","","074764610102","","A50017284","SI","FTW","1","FTW",""
"100100000000128993","ARDELL 486  PEST POSTIZAS","","","","074764622167","","A50017289","SI","FTW","1","FTW",""
"100100000000128992","ARDELL 487  PEST POSTIZAS","","","","074764622150","","A50017288","SI","FTW","1","FTW",""
"100100000000128990","ARDELL 488  PEST POSTIZAS","","","","074764622174","","A50017287","SI","FTW","1","FTW",""
"100100000000128997","ARDELL 489  PEST POSTIZAS","","","","074764368522","","A50017293","SI","FTW","1","FTW",""
"100100000000128995","ARDELL 490  PEST POSTIZAS","","","","074764368515","","A50017291","SI","FTW","1","FTW",""
